product_name,category,quantity,price,region
Camera,Fashion,2,1876,South
Tablet,Electronics,1,1070,South
Camera,Fashion,5,1428,North
Phone,Electronics,5,235,West
Camera,Electronics,3,1962,West
Phone,Fashion,2,101,East
Laptop,Electronics,3,361,East
Speaker,Fashion,1,834,East
Shoes,Fashion,1,1123,South
Shirt,Electronics,1,1604,East
Speaker,Electronics,3,1797,South
Headphones,Fashion,4,1519,North
Shirt,Fashion,4,710,North
Phone,Electronics,5,1196,South
Shirt,Fashion,1,1552,East
Shoes,Fashion,3,1800,South
Tablet,Fashion,4,464,West
Jeans,Fashion,1,1846,North
Tablet,Electronics,3,248,East
Speaker,Fashion,2,1236,North
Watch,Electronics,2,915,South
Laptop,Fashion,4,1384,North
Headphones,Electronics,3,1516,North
Headphones,Fashion,3,1457,South
Laptop,Electronics,2,789,West
Phone,Electronics,5,1987,East
Watch,Fashion,1,839,West
Jeans,Fashion,3,1702,North
Tablet,Fashion,3,1858,South
Headphones,Fashion,2,1473,North
Jeans,Electronics,3,747,South
Laptop,Fashion,2,518,South
Shoes,Electronics,5,1415,North
Shirt,Electronics,4,1946,North
Tablet,Fashion,2,881,East
Shoes,Electronics,3,1641,East
Headphones,Fashion,2,1170,North
Headphones,Fashion,4,275,North
Camera,Fashion,3,710,North
Shirt,Electronics,1,1284,East
Speaker,Fashion,3,1225,East
Laptop,Electronics,5,1627,East
Shirt,Electronics,5,1087,South
Watch,Fashion,2,770,West
Phone,Electronics,5,351,North
Shirt,Fashion,3,909,East
Shirt,Fashion,1,1112,South
Watch,Fashion,4,747,West
Tablet,Electronics,5,1217,South
Speaker,Fashion,4,1597,North
Shoes,Fashion,4,829,South
Camera,Electronics,1,173,South
Shoes,Electronics,4,429,North
Speaker,Fashion,2,512,South
Jeans,Electronics,4,806,South
Shirt,Electronics,4,385,South
Speaker,Fashion,4,1989,North
Shoes,Electronics,4,1911,North
Phone,Electronics,4,1380,West
Laptop,Electronics,3,435,North
Headphones,Fashion,4,809,North
Watch,Electronics,5,490,West
Headphones,Electronics,3,197,North
Phone,Electronics,1,1888,South
Watch,Electronics,4,181,West
Jeans,Fashion,3,1460,West
Shoes,Fashion,2,927,East
Phone,Fashion,3,1298,South
Speaker,Electronics,4,1329,West
Phone,Electronics,5,1239,West
Shirt,Electronics,3,1957,North
Camera,Fashion,2,940,South
Watch,Electronics,1,1971,North
Watch,Electronics,1,725,South
Headphones,Electronics,5,1208,East
Shirt,Fashion,1,1810,West
Laptop,Fashion,4,854,West
Speaker,Fashion,4,191,South
Watch,Electronics,3,1326,West
Tablet,Electronics,1,974,West
Speaker,Electronics,5,1892,South
Laptop,Electronics,3,971,South
Headphones,Electronics,2,636,North
Jeans,Fashion,1,1318,North
Phone,Fashion,4,999,South
Shoes,Electronics,3,1667,East
Tablet,Electronics,5,186,South
Camera,Fashion,5,760,North
Speaker,Electronics,5,630,West
Shoes,Fashion,4,1936,West
Shirt,Fashion,1,655,East
Jeans,Electronics,3,776,West
Watch,Electronics,5,1613,South
Laptop,Electronics,5,693,North
Shoes,Electronics,1,817,East
Headphones,Fashion,3,1320,South
Jeans,Fashion,4,1209,East
Jeans,Fashion,2,101,South
Tablet,Fashion,4,1102,East
Camera,Electronics,4,1894,East
Shirt,Fashion,3,1853,North
Speaker,Fashion,4,1781,South
Jeans,Fashion,1,1027,West
Watch,Fashion,1,689,South
Laptop,Electronics,3,1585,North
Watch,Electronics,5,1615,South
Jeans,Electronics,1,1255,North
Tablet,Electronics,2,1950,South
Watch,Fashion,1,501,South
Shirt,Fashion,4,1797,South
Shoes,Electronics,2,314,South
Speaker,Electronics,1,1992,West
Jeans,Fashion,4,1749,South
Laptop,Electronics,4,119,South
Tablet,Electronics,2,1539,North
Shirt,Fashion,1,1153,East
Shoes,Electronics,1,245,West
Phone,Fashion,2,1233,North
Jeans,Fashion,3,1816,East
Tablet,Electronics,5,699,South
Speaker,Electronics,5,968,South
Laptop,Fashion,2,507,West
Speaker,Electronics,1,1675,West
Shirt,Electronics,1,866,South
Tablet,Electronics,2,1308,West
Camera,Electronics,4,283,North
Shoes,Fashion,4,750,East
Headphones,Electronics,5,1501,West
Speaker,Electronics,3,224,East
Laptop,Electronics,4,1904,West
Tablet,Electronics,4,443,East
Camera,Electronics,1,265,North
Headphones,Electronics,4,532,North
Laptop,Fashion,1,1010,West
Shirt,Fashion,5,1989,West
Laptop,Fashion,1,941,East
Laptop,Fashion,3,1352,North
Phone,Electronics,1,1379,West
Headphones,Fashion,1,1937,South
Watch,Fashion,3,1045,North
Speaker,Electronics,4,1971,South
Phone,Fashion,5,919,South
Tablet,Electronics,4,1080,West
Headphones,Electronics,1,1407,East
Tablet,Electronics,2,1709,South
Jeans,Fashion,2,924,South
Headphones,Fashion,4,455,South
Shoes,Fashion,2,902,West
Speaker,Electronics,2,609,East
Watch,Fashion,5,101,North
Laptop,Electronics,3,1076,North
Jeans,Fashion,5,1058,East
Headphones,Fashion,5,1507,North
Camera,Electronics,5,1257,North
Speaker,Fashion,2,438,South
Camera,Electronics,2,1051,East
Shirt,Electronics,2,1672,West
Shirt,Electronics,3,467,South
Speaker,Electronics,5,403,West
Headphones,Fashion,2,1929,East
Shirt,Fashion,2,1465,East
Speaker,Electronics,4,875,North
Phone,Electronics,4,528,West
Shoes,Electronics,1,1889,East
Phone,Electronics,1,769,North
Jeans,Electronics,3,878,North
Phone,Electronics,3,1662,West
Jeans,Electronics,1,1929,South
Jeans,Fashion,4,1292,West
Tablet,Electronics,4,745,North
Watch,Fashion,4,1547,North
Watch,Fashion,2,1596,East
Jeans,Electronics,4,1218,West
Speaker,Fashion,4,1536,North
Watch,Fashion,3,653,East
Laptop,Fashion,2,1482,East
Phone,Electronics,2,1791,South
Speaker,Electronics,4,1637,South
Shoes,Electronics,1,1574,North
Laptop,Fashion,1,876,North
Jeans,Fashion,5,1593,East
Phone,Fashion,4,397,West
Speaker,Electronics,5,141,North
Jeans,Fashion,3,585,South
Headphones,Electronics,2,1989,North
Watch,Electronics,2,1898,South
Camera,Fashion,2,1912,North
Jeans,Electronics,2,315,West
Jeans,Electronics,1,944,South
Camera,Fashion,3,467,South
Shoes,Fashion,1,635,South
Headphones,Electronics,1,1840,West
Speaker,Fashion,5,737,East
Laptop,Electronics,3,344,East
Camera,Electronics,1,1415,North
Shoes,Electronics,1,239,West
Tablet,Fashion,2,1405,East
Shirt,Fashion,4,798,South
Headphones,Fashion,5,1855,South
Headphones,Electronics,2,755,East
Tablet,Electronics,5,1099,South
Laptop,Electronics,1,1383,North
Shirt,Fashion,2,1761,West
Tablet,Fashion,4,1538,East
Headphones,Electronics,3,749,North
Shoes,Fashion,1,823,North
Watch,Electronics,5,1927,East
Shoes,Fashion,4,1255,South
Watch,Electronics,2,1056,West
Shirt,Fashion,4,679,South
Camera,Electronics,3,704,East
Speaker,Electronics,5,536,South
Speaker,Electronics,2,326,West
Speaker,Fashion,1,850,West
Shoes,Electronics,5,875,South
Speaker,Electronics,2,402,East
Shoes,Fashion,5,1219,North
Shirt,Electronics,2,1640,North
Laptop,Electronics,5,902,North
Camera,Electronics,4,1570,North
Phone,Electronics,2,128,East
Laptop,Fashion,4,180,South
Shirt,Fashion,4,173,West
Camera,Fashion,5,123,East
Shoes,Electronics,2,645,South
Jeans,Fashion,4,1501,North
Jeans,Fashion,3,1538,North
Tablet,Electronics,1,443,South
Speaker,Electronics,2,995,South
Shoes,Fashion,4,1385,East
Shoes,Fashion,2,871,East
Phone,Fashion,2,663,West
Camera,Electronics,2,314,East
Camera,Electronics,1,629,North
Tablet,Fashion,3,1049,South
Shoes,Fashion,5,541,South
Watch,Electronics,2,1352,West
Shoes,Fashion,3,1193,West
Laptop,Fashion,2,1574,North
Speaker,Electronics,2,1995,East
Headphones,Electronics,3,710,North
Camera,Electronics,3,1865,South
Camera,Electronics,2,1574,South
Jeans,Electronics,3,1247,South
Headphones,Fashion,1,1423,West
Watch,Fashion,5,534,South
Camera,Electronics,2,1710,South
Phone,Electronics,4,217,North
Speaker,Electronics,5,728,East
Speaker,Fashion,1,1688,North
Tablet,Electronics,3,1259,South
Shirt,Fashion,1,878,North
Phone,Fashion,3,1763,West
Phone,Fashion,1,1260,West
Shirt,Electronics,4,1539,North
Camera,Electronics,3,957,West
Speaker,Fashion,5,1212,West
Shoes,Fashion,4,1646,North
Headphones,Fashion,3,467,East
Laptop,Fashion,3,178,South
Shoes,Electronics,2,237,North
Shoes,Fashion,2,1113,East
Camera,Electronics,1,330,East
Phone,Fashion,4,1730,South
Headphones,Electronics,1,266,West
Speaker,Electronics,3,677,North
Speaker,Fashion,3,774,West
Tablet,Fashion,1,1460,West
Laptop,Electronics,1,582,South
Phone,Fashion,4,1886,North
Camera,Fashion,1,2000,South
Tablet,Electronics,4,1425,West
Jeans,Electronics,1,370,North
Phone,Fashion,5,1417,North
Phone,Electronics,4,516,North
Shirt,Fashion,4,423,West
Shoes,Fashion,3,1023,South
Shirt,Fashion,1,1641,North
Jeans,Electronics,4,1299,West
Shoes,Electronics,1,1400,East
Jeans,Electronics,4,630,East
Tablet,Fashion,1,539,West
Headphones,Fashion,5,390,West
Laptop,Fashion,4,1232,East
Laptop,Fashion,3,963,East
Jeans,Electronics,4,1047,West
Tablet,Fashion,3,957,West
Tablet,Electronics,4,1961,South
Phone,Electronics,5,1825,North
Shoes,Electronics,4,1396,East
Shirt,Electronics,5,1283,North
Phone,Fashion,3,1195,North
Tablet,Electronics,4,1549,West
Shirt,Fashion,1,1084,East
Shoes,Electronics,1,840,North
Phone,Fashion,4,1248,East
Speaker,Electronics,1,1822,North
Jeans,Electronics,5,703,South
Watch,Electronics,3,1085,North
Camera,Electronics,2,322,South
Jeans,Electronics,2,1056,East
Shirt,Fashion,5,1989,North
Jeans,Fashion,2,154,North
Tablet,Fashion,4,1929,South
Phone,Fashion,1,1350,South
Phone,Electronics,3,500,East
Shoes,Fashion,2,110,East
Laptop,Fashion,1,1461,East
Camera,Fashion,2,511,East
Shirt,Fashion,5,1432,East
Phone,Electronics,1,1532,East
Speaker,Fashion,2,874,North
Laptop,Fashion,2,1680,East
Watch,Fashion,1,621,East
Jeans,Electronics,3,1645,East
Phone,Fashion,5,1635,East
Shoes,Fashion,1,214,South
Tablet,Electronics,5,223,West
Phone,Electronics,3,797,East
Speaker,Electronics,1,1996,North
Watch,Fashion,5,1508,North
Watch,Electronics,3,1100,South
Camera,Electronics,2,122,West
Shoes,Fashion,2,1702,South
Tablet,Electronics,2,1033,East
Jeans,Fashion,3,319,South
Shoes,Electronics,1,157,South
Phone,Fashion,4,1511,North
Camera,Electronics,4,258,South
Phone,Electronics,4,1156,West
Shoes,Electronics,2,1359,West
Jeans,Fashion,5,544,East
Watch,Fashion,2,1461,South
Shirt,Fashion,4,1219,West
Jeans,Fashion,4,461,North
Watch,Electronics,3,1760,South
Watch,Fashion,5,1768,East
Headphones,Fashion,5,713,North
Camera,Fashion,3,1013,South
Speaker,Electronics,5,1626,West
Phone,Fashion,3,339,South
Camera,Electronics,4,1978,North
Speaker,Electronics,1,298,West
Tablet,Electronics,2,1992,North
Camera,Fashion,3,1500,North
Phone,Electronics,3,124,West
Phone,Fashion,2,260,West
Headphones,Electronics,4,555,East
Phone,Electronics,3,1052,North
Laptop,Electronics,3,808,West
Tablet,Fashion,2,1351,North
Speaker,Fashion,2,463,West
Jeans,Fashion,1,410,North
Laptop,Fashion,2,120,West
Shoes,Fashion,3,1649,West
Jeans,Electronics,3,437,West
Shirt,Electronics,5,1700,South
Jeans,Electronics,2,357,North
Speaker,Electronics,2,1328,South
Tablet,Fashion,1,1017,East
Watch,Electronics,1,584,West
Speaker,Electronics,5,1249,South
Laptop,Fashion,4,992,South
Headphones,Electronics,5,1039,East
Headphones,Electronics,3,696,South
Speaker,Fashion,3,1118,East
Speaker,Fashion,5,1492,South
Jeans,Electronics,1,510,South
Phone,Electronics,1,1140,West
Phone,Fashion,1,1391,East
Shoes,Electronics,2,871,South
Headphones,Fashion,2,399,South
Headphones,Electronics,1,1793,East
Jeans,Electronics,4,1845,West
Jeans,Electronics,2,818,East
Jeans,Electronics,5,1795,North
Shirt,Fashion,4,343,North
Laptop,Fashion,5,1395,East
Laptop,Fashion,5,397,East
Headphones,Fashion,1,1250,East
Shirt,Fashion,5,1747,North
Phone,Electronics,1,1444,West
Speaker,Electronics,5,1659,West
Camera,Fashion,2,1963,West
Phone,Electronics,5,340,East
Phone,Electronics,4,1391,North
Jeans,Fashion,4,361,North
Watch,Electronics,4,819,West
Camera,Electronics,1,397,West
Phone,Electronics,4,1484,East
Camera,Fashion,5,1822,East
Shoes,Fashion,4,472,West
Shoes,Fashion,3,1937,North
Shirt,Fashion,1,687,North
Speaker,Fashion,4,1500,North
Speaker,Electronics,5,1781,South
Tablet,Electronics,1,655,North
Watch,Electronics,4,1133,North
Jeans,Electronics,1,1194,East
Tablet,Fashion,3,1732,East
Shoes,Electronics,3,182,East
Shoes,Fashion,5,1724,North
Camera,Electronics,5,464,West
Headphones,Electronics,4,1661,East
Shirt,Fashion,3,837,North
Tablet,Electronics,2,180,West
Tablet,Electronics,4,265,North
Tablet,Electronics,2,476,North
Jeans,Fashion,4,210,East
Tablet,Fashion,2,421,North
Shoes,Fashion,3,791,West
Speaker,Electronics,4,721,North
Headphones,Electronics,1,283,East
Phone,Fashion,1,1716,West
Shoes,Fashion,1,600,South
Speaker,Fashion,3,1955,North
Jeans,Fashion,1,1061,South
Jeans,Electronics,5,1376,North
Headphones,Electronics,5,371,West
Phone,Fashion,4,608,East
Shoes,Electronics,4,763,East
Laptop,Fashion,5,794,East
Shirt,Fashion,1,1549,South
Jeans,Fashion,1,1673,West
Headphones,Fashion,2,1735,East
Laptop,Electronics,3,320,East
Tablet,Fashion,2,900,North
Laptop,Fashion,1,569,North
Laptop,Fashion,2,594,West
Camera,Electronics,5,1143,North
Camera,Fashion,3,1522,East
Phone,Fashion,4,861,East
Speaker,Electronics,2,204,West
Headphones,Electronics,2,1657,West
Phone,Electronics,2,1135,East
Watch,Electronics,5,1965,West
Shoes,Electronics,4,1161,West
Speaker,Electronics,3,962,South
Tablet,Electronics,2,1893,North
Watch,Fashion,3,1182,East
Speaker,Fashion,5,691,East
Shirt,Fashion,3,413,East
Shirt,Fashion,2,1191,West
Watch,Fashion,2,172,East
Watch,Electronics,5,1103,East
Headphones,Electronics,2,1173,South
Headphones,Fashion,1,436,North
Laptop,Fashion,2,592,South
Camera,Fashion,4,451,South
Shoes,Fashion,5,1406,South
Laptop,Electronics,4,1396,West
Headphones,Electronics,3,100,West
Speaker,Fashion,4,1994,East
Shirt,Fashion,4,1396,South
Phone,Electronics,1,187,North
Shoes,Electronics,3,1544,East
Shoes,Electronics,2,1911,South
Speaker,Electronics,5,1068,North
Tablet,Fashion,2,1914,East
Tablet,Electronics,4,280,East
Laptop,Fashion,4,1776,East
Shirt,Electronics,2,920,North
Phone,Fashion,1,1231,South
Shoes,Electronics,3,1893,West
Speaker,Electronics,5,1574,North
Camera,Electronics,2,1692,West
Camera,Fashion,1,1032,South
Watch,Electronics,1,825,North
Watch,Fashion,4,1083,North
Camera,Fashion,3,835,South
Speaker,Fashion,2,924,East
Watch,Electronics,3,1009,West
Camera,Fashion,5,548,South
Camera,Electronics,5,1788,North
Phone,Fashion,4,1719,East
Headphones,Electronics,2,1627,East
Watch,Electronics,2,549,North
Tablet,Electronics,1,1608,East
Shirt,Electronics,4,1492,West
Camera,Electronics,2,1587,East
Watch,Fashion,2,552,South
Phone,Electronics,5,1505,North
Laptop,Fashion,2,671,South
Jeans,Fashion,4,1018,West
Shoes,Electronics,5,1466,North
Watch,Electronics,4,1318,East
Shoes,Fashion,1,735,West
Tablet,Electronics,1,1371,North
Phone,Electronics,2,350,East
Camera,Electronics,3,1845,East
Camera,Electronics,5,1243,West
Watch,Electronics,5,1450,North
Phone,Fashion,3,1629,East
Watch,Electronics,2,1097,West
Jeans,Fashion,1,176,North
Tablet,Electronics,4,1434,North
Speaker,Electronics,3,338,North
Watch,Electronics,3,691,East
Tablet,Electronics,4,1531,West
Phone,Fashion,5,1896,East
Shirt,Electronics,4,962,East
Watch,Fashion,1,1154,East
Watch,Fashion,3,1051,North
Tablet,Electronics,1,230,West
Speaker,Fashion,3,1539,South
Phone,Electronics,1,563,East
Shirt,Electronics,3,600,East
Camera,Electronics,4,100,West
Shoes,Electronics,1,119,North
Watch,Fashion,4,708,West
Laptop,Fashion,2,164,South
Watch,Electronics,4,1741,West
Shirt,Fashion,4,350,East
Phone,Fashion,1,1898,East
Tablet,Electronics,2,1733,West
Watch,Fashion,5,1047,East
Watch,Electronics,4,1850,South
Headphones,Fashion,2,664,West
Jeans,Electronics,5,1472,West
Laptop,Electronics,4,996,South
Phone,Electronics,3,674,South
Headphones,Electronics,4,409,West
Speaker,Fashion,2,1014,North
Tablet,Fashion,4,927,North
Phone,Fashion,3,1557,North
Tablet,Electronics,5,1488,South
Jeans,Electronics,4,1478,North
Camera,Electronics,4,237,West
Speaker,Fashion,2,1607,East
Jeans,Electronics,5,671,South
Laptop,Electronics,4,404,East
Shoes,Electronics,5,501,East
Shoes,Electronics,5,748,West
Phone,Fashion,1,1756,East
Jeans,Electronics,4,721,East
Tablet,Electronics,3,122,North
Camera,Electronics,4,1247,South
Headphones,Fashion,5,1746,West
Camera,Fashion,5,919,West
Shoes,Fashion,1,378,North
Tablet,Electronics,1,1589,North
Jeans,Electronics,5,466,East
Watch,Electronics,3,1693,East
Tablet,Fashion,2,298,North
Laptop,Fashion,4,681,East
Headphones,Electronics,5,698,South
Shirt,Fashion,2,1079,West
Speaker,Electronics,3,716,East
Tablet,Electronics,1,1761,West
Headphones,Fashion,2,1922,North
Jeans,Fashion,1,857,South
Phone,Fashion,1,1669,South
Shirt,Fashion,5,101,West
Watch,Fashion,5,115,East
Headphones,Electronics,4,1450,West
Watch,Fashion,4,1393,West
Tablet,Electronics,5,284,West
Phone,Fashion,3,381,West
Shoes,Fashion,4,1387,East
Tablet,Fashion,1,170,North
Tablet,Fashion,4,1915,South
Camera,Electronics,1,159,North
Camera,Electronics,3,1291,South
Speaker,Fashion,3,1920,East
Jeans,Electronics,1,1153,West
Shirt,Electronics,3,957,West
Speaker,Fashion,5,174,West
Laptop,Fashion,2,930,South
Phone,Electronics,2,653,North
Speaker,Electronics,4,239,South
Phone,Fashion,1,1282,North
Laptop,Fashion,2,1017,North
Tablet,Fashion,1,1818,East
Headphones,Fashion,5,1429,North
Shirt,Electronics,2,1687,South
Shoes,Electronics,4,1143,South
Phone,Fashion,2,499,West
Speaker,Fashion,3,259,East
Phone,Fashion,4,1490,North
Camera,Fashion,1,1037,West
Camera,Fashion,4,1351,East
Laptop,Electronics,4,1115,East
Shirt,Electronics,2,959,East
Camera,Electronics,4,1888,North
Jeans,Fashion,4,1248,North
Tablet,Fashion,3,682,South
Shoes,Electronics,5,868,North
Phone,Fashion,3,1529,South
Jeans,Electronics,4,1149,North
Speaker,Electronics,2,1852,East
Speaker,Fashion,5,262,East
Shirt,Fashion,2,1126,North
Tablet,Electronics,3,1430,North
Speaker,Electronics,2,1880,West
Speaker,Fashion,2,758,North
Headphones,Electronics,2,1992,North
Speaker,Electronics,3,1761,West
Shirt,Fashion,4,321,West
Camera,Fashion,4,648,South
Phone,Fashion,5,198,West
Jeans,Fashion,4,1644,South
Speaker,Fashion,2,729,West
Laptop,Fashion,2,1163,West
Shirt,Fashion,2,328,North
Headphones,Fashion,1,1835,North
Headphones,Fashion,3,476,East
Laptop,Electronics,3,1487,North
Tablet,Electronics,5,1660,West
Jeans,Electronics,3,1407,West
Shoes,Electronics,1,532,South
Tablet,Fashion,3,1677,East
Laptop,Electronics,1,1449,West
Phone,Fashion,2,395,South
Speaker,Electronics,1,1291,South
Jeans,Fashion,1,730,East
Speaker,Fashion,3,1517,East
Speaker,Electronics,1,1266,North
Laptop,Fashion,1,1068,East
Watch,Fashion,4,1698,North
Phone,Fashion,4,697,South
Watch,Electronics,5,425,South
Shirt,Electronics,1,1988,East
Phone,Electronics,3,1446,South
Jeans,Fashion,1,1189,North
Camera,Fashion,5,1582,West
Watch,Electronics,4,1785,South
Phone,Electronics,2,792,East
Watch,Electronics,1,1304,East
Jeans,Electronics,5,158,East
Shirt,Fashion,3,1856,West
Phone,Fashion,2,1174,South
Laptop,Electronics,3,601,North
Tablet,Electronics,5,928,South
Jeans,Electronics,4,976,North
Headphones,Electronics,2,803,West
Tablet,Fashion,3,331,North
Headphones,Electronics,3,186,North
Shoes,Electronics,5,506,West
Laptop,Fashion,3,300,West
Laptop,Fashion,3,471,West
Headphones,Electronics,4,578,South
Speaker,Fashion,4,1949,West
Camera,Electronics,5,1598,East
Phone,Fashion,3,1066,East
Watch,Fashion,1,1933,South
Speaker,Fashion,4,783,East
Watch,Electronics,5,1128,North
Jeans,Electronics,3,453,East
Headphones,Electronics,1,1066,South
Headphones,Fashion,3,1553,South
Shirt,Fashion,4,1766,South
Jeans,Electronics,1,1616,East
Camera,Fashion,3,646,East
Shoes,Electronics,4,1100,East
Jeans,Electronics,3,608,South
Watch,Fashion,1,813,West
Headphones,Electronics,1,1389,West
Camera,Electronics,2,482,East
Shoes,Electronics,1,1214,South
Phone,Fashion,5,1631,East
Tablet,Electronics,2,699,South
Laptop,Fashion,3,1259,South
Laptop,Fashion,2,1483,North
Jeans,Fashion,1,1185,West
Headphones,Electronics,1,1002,South
Shirt,Fashion,3,437,East
Watch,Electronics,2,1009,South
Camera,Electronics,5,385,West
Tablet,Electronics,5,1279,West
Shoes,Electronics,5,1861,North
Shirt,Electronics,2,1075,South
Shirt,Fashion,4,1598,North
Speaker,Electronics,4,366,West
Laptop,Electronics,4,1443,West
Shirt,Fashion,1,1079,North
Watch,Fashion,5,292,West
Camera,Electronics,4,1920,South
Speaker,Electronics,5,1355,North
Headphones,Electronics,1,1698,North
Speaker,Fashion,3,114,West
Watch,Fashion,4,201,North
Shoes,Electronics,2,1210,North
Shoes,Fashion,3,287,South
Speaker,Fashion,1,825,North
Speaker,Fashion,1,549,South
Camera,Fashion,5,1859,North
Shoes,Electronics,4,823,West
Tablet,Electronics,2,224,North
Speaker,Fashion,4,1407,South
Tablet,Electronics,2,707,West
Tablet,Fashion,5,684,East
Shirt,Fashion,2,1769,West
Shirt,Fashion,5,1682,North
Shirt,Electronics,4,1661,West
Tablet,Fashion,1,616,West
